brand,battery_hours
A,11.85
A,12.47
A,11.83
A,9.71
A,12.58
A,11.98
A,10.7
A,12.16
A,11.87
A,11.78
A,11.44
A,12.11
A,10.44
A,11.19
A,10.77
A,12.18
A,11.45
A,11.02
A,10.38
A,11.07
A,11.41
A,11.04
A,13.08
A,12.71
A,7.88
A,8.94
A,11.17
A,10.85
A,11.68
A,11.68
A,14.15
A,9.95
B,9.43
B,13.06
B,10.97
B,10.99
B,9.23
B,7.53
B,10.25
B,10.16
B,8.16
B,8.98
B,9.89
B,8.58
B,9.85
B,10.14
B,10.05
B,9.24
B,10.89
B,11.34
B,10.48
B,8.77
B,11.1
B,9.25
B,11.32
B,8.39
B,11.37
B,9.97
B,8.13
B,9.53
B,10.08
B,10.41
B,8.53
B,8.34
