student_id,gender,age_group,meal_time,frequency_of_visit,favorite_meal
1,Male,18-25,Lunch,Weekly,Burger
2,Male,26-35,Lunch,Weekly,Burger
3,Male,36-45,Dinner,Weekly,Burger
4,Female,26-35,Dinner,Weekly,Salad
5,Male,36-45,Dinner,Weekly,Burger
6,Female,18-25,Dinner,Weekly,Pizza
7,Female,26-35,Dinner,Occasionally,Pizza
8,Female,36-45,Dinner,Occasionally,Burger
9,Male,18-25,Dinner,Daily,Burger
10,Male,26-35,Dinner,Daily,Pizza
11,Female,36-45,Dinner,Daily,Pizza
12,Female,26-35,Dinner,Occasionally,Burger
13,Female,18-25,Lunch,Daily,Salad
14,Male,36-45,Dinner,Occasionally,Pizza
15,Female,36-45,Lunch,Daily,Salad
16,Male,36-45,Lunch,Daily,Burger
17,Female,18-25,Lunch,Daily,Burger
18,Male,36-45,Dinner,Daily,Pizza
19,Male,26-35,Lunch,Weekly,Pizza
20,Male,26-35,Dinner,Weekly,Burger
21,Male,26-35,Lunch,Weekly,Salad
22,Female,36-45,Lunch,Weekly,Salad
23,Male,18-25,Lunch,Daily,Pizza
24,Male,18-25,Dinner,Occasionally,Burger
25,Male,26-35,Dinner,Occasionally,Pizza
26,Male,26-35,Lunch,Occasionally,Burger
27,Female,36-45,Lunch,Weekly,Burger
28,Female,26-35,Lunch,Occasionally,Salad
29,Male,26-35,Lunch,Weekly,Pizza
30,Female,18-25,Dinner,Daily,Burger
31,Male,36-45,Lunch,Daily,Salad
32,Female,18-25,Dinner,Weekly,Pizza
33,Male,36-45,Dinner,Weekly,Pizza
34,Female,36-45,Lunch,Weekly,Burger
35,Female,36-45,Lunch,Daily,Salad
36,Male,36-45,Lunch,Occasionally,Burger
37,Male,26-35,Lunch,Daily,Burger
38,Male,26-35,Lunch,Occasionally,Salad
39,Male,18-25,Dinner,Daily,Salad
40,Female,18-25,Lunch,Daily,Pizza
41,Male,36-45,Dinner,Occasionally,Pizza
42,Female,26-35,Lunch,Weekly,Burger
43,Female,18-25,Lunch,Daily,Salad
44,Male,26-35,Dinner,Occasionally,Burger
45,Male,26-35,Dinner,Occasionally,Salad
46,Male,26-35,Lunch,Weekly,Pizza
47,Male,18-25,Lunch,Weekly,Pizza
48,Female,36-45,Dinner,Occasionally,Salad
49,Male,36-45,Lunch,Occasionally,Burger
50,Male,26-35,Dinner,Daily,Salad
51,Female,26-35,Lunch,Weekly,Pizza
52,Male,26-35,Lunch,Daily,Burger
53,Male,18-25,Dinner,Daily,Pizza
54,Male,36-45,Lunch,Occasionally,Pizza
55,Male,18-25,Lunch,Daily,Burger
56,Female,26-35,Dinner,Weekly,Burger
57,Female,36-45,Lunch,Weekly,Burger
58,Male,18-25,Dinner,Occasionally,Salad
59,Female,18-25,Lunch,Weekly,Pizza
60,Male,26-35,Dinner,Occasionally,Salad
61,Male,36-45,Dinner,Occasionally,Pizza
62,Female,18-25,Dinner,Weekly,Burger
63,Female,26-35,Lunch,Occasionally,Salad
64,Male,18-25,Dinner,Occasionally,Burger
65,Male,18-25,Dinner,Weekly,Pizza
66,Female,36-45,Dinner,Weekly,Salad
67,Male,36-45,Lunch,Occasionally,Burger
68,Male,36-45,Dinner,Occasionally,Pizza
69,Male,36-45,Lunch,Weekly,Burger
70,Male,36-45,Dinner,Daily,Burger
71,Female,26-35,Lunch,Daily,Pizza
72,Male,36-45,Lunch,Occasionally,Salad
73,Male,26-35,Lunch,Occasionally,Salad
74,Male,36-45,Dinner,Daily,Burger
75,Male,26-35,Dinner,Weekly,Burger
76,Female,36-45,Dinner,Weekly,Burger
77,Female,26-35,Lunch,Occasionally,Salad
78,Male,26-35,Dinner,Weekly,Pizza
79,Female,36-45,Dinner,Occasionally,Burger
80,Female,26-35,Lunch,Daily,Salad
81,Female,18-25,Dinner,Weekly,Salad
82,Female,36-45,Dinner,Weekly,Pizza
83,Male,18-25,Dinner,Daily,Pizza
84,Female,36-45,Dinner,Occasionally,Salad
85,Female,26-35,Dinner,Weekly,Burger
86,Female,18-25,Lunch,Occasionally,Pizza
87,Male,18-25,Lunch,Occasionally,Salad
88,Male,36-45,Lunch,Daily,Burger
89,Female,18-25,Dinner,Weekly,Burger
90,Male,26-35,Lunch,Weekly,Salad
91,Female,36-45,Lunch,Daily,Salad
92,Female,36-45,Dinner,Daily,Pizza
93,Male,26-35,Dinner,Weekly,Burger
94,Female,26-35,Dinner,Occasionally,Burger
95,Female,26-35,Lunch,Occasionally,Pizza
96,Male,36-45,Dinner,Occasionally,Pizza
97,Male,36-45,Dinner,Weekly,Salad
98,Female,36-45,Lunch,Weekly,Salad
99,Male,26-35,Lunch,Occasionally,Pizza
100,Male,18-25,Lunch,Daily,Salad
101,Male,36-45,Dinner,Occasionally,Pizza
102,Female,36-45,Lunch,Daily,Burger
103,Female,36-45,Dinner,Occasionally,Pizza
104,Male,36-45,Lunch,Occasionally,Pizza
105,Female,36-45,Lunch,Occasionally,Burger
106,Female,36-45,Lunch,Weekly,Salad
107,Male,18-25,Dinner,Daily,Salad
108,Male,18-25,Lunch,Daily,Pizza
109,Male,18-25,Dinner,Occasionally,Burger
110,Female,18-25,Lunch,Daily,Salad
111,Female,18-25,Lunch,Weekly,Pizza
112,Female,26-35,Lunch,Weekly,Salad
113,Female,18-25,Lunch,Occasionally,Salad
114,Male,26-35,Dinner,Weekly,Burger
115,Male,26-35,Lunch,Daily,Salad
116,Female,36-45,Dinner,Daily,Pizza
117,Female,36-45,Dinner,Weekly,Burger
118,Female,18-25,Dinner,Occasionally,Salad
119,Male,26-35,Dinner,Daily,Pizza
120,Female,26-35,Dinner,Daily,Salad
121,Male,18-25,Lunch,Daily,Burger
122,Female,36-45,Lunch,Daily,Salad
123,Male,36-45,Lunch,Daily,Burger
124,Male,26-35,Lunch,Daily,Burger
125,Male,18-25,Dinner,Occasionally,Salad
126,Female,36-45,Lunch,Daily,Salad
127,Female,26-35,Lunch,Weekly,Burger
128,Male,18-25,Lunch,Occasionally,Salad
129,Male,36-45,Dinner,Occasionally,Salad
130,Male,26-35,Lunch,Occasionally,Salad
131,Female,26-35,Dinner,Weekly,Salad
132,Male,26-35,Lunch,Weekly,Pizza
133,Female,26-35,Lunch,Daily,Burger
134,Female,26-35,Dinner,Occasionally,Salad
135,Female,18-25,Dinner,Weekly,Burger
136,Female,18-25,Lunch,Daily,Salad
137,Female,36-45,Lunch,Daily,Salad
138,Female,18-25,Lunch,Occasionally,Burger
139,Female,18-25,Lunch,Weekly,Salad
140,Male,36-45,Dinner,Weekly,Burger
141,Female,18-25,Lunch,Daily,Burger
142,Female,26-35,Lunch,Daily,Salad
143,Female,36-45,Lunch,Occasionally,Salad
144,Male,36-45,Dinner,Occasionally,Burger
145,Female,26-35,Lunch,Daily,Salad
146,Female,26-35,Dinner,Weekly,Pizza
147,Female,18-25,Dinner,Daily,Burger
148,Male,36-45,Dinner,Weekly,Burger
149,Female,36-45,Dinner,Daily,Salad
150,Female,18-25,Dinner,Occasionally,Burger
151,Male,36-45,Lunch,Occasionally,Pizza
152,Female,18-25,Dinner,Weekly,Salad
153,Male,18-25,Lunch,Weekly,Pizza
154,Female,26-35,Dinner,Occasionally,Pizza
155,Male,18-25,Lunch,Daily,Pizza
156,Male,18-25,Dinner,Weekly,Burger
157,Male,18-25,Lunch,Weekly,Burger
158,Male,18-25,Dinner,Weekly,Salad
159,Male,18-25,Dinner,Daily,Salad
160,Male,18-25,Dinner,Weekly,Pizza
161,Male,36-45,Lunch,Daily,Burger
162,Female,36-45,Lunch,Occasionally,Pizza
163,Female,18-25,Lunch,Occasionally,Burger
164,Female,18-25,Dinner,Occasionally,Salad
165,Male,36-45,Lunch,Weekly,Salad
166,Female,26-35,Lunch,Weekly,Pizza
167,Male,26-35,Lunch,Occasionally,Burger
168,Male,36-45,Dinner,Occasionally,Salad
169,Female,36-45,Lunch,Daily,Burger
170,Male,26-35,Lunch,Weekly,Pizza
171,Female,36-45,Lunch,Weekly,Pizza
