vendor_id,vendor_type,payment_preference
VND0001,Produce,Cash
VND0002,Electronics,Bank Transfer
VND0003,Textiles,Mobile Money
VND0004,Textiles,Mobile Money
VND0005,Produce,Mobile Money
VND0006,Produce,Bank Transfer
VND0007,Produce,Cash
VND0008,Electronics,Mobile Money
VND0009,Textiles,Bank Transfer
VND0010,Textiles,Cash
VND0011,Produce,Cash
VND0012,Electronics,Cash
VND0013,Electronics,Cash
VND0014,Produce,Bank Transfer
VND0015,Produce,Mobile Money
VND0016,Produce,Mobile Money
VND0017,Produce,Cash
VND0018,Textiles,Cash
VND0019,Produce,Cash
VND0020,Produce,Cash
VND0021,Textiles,Mobile Money
VND0022,Produce,Mobile Money
VND0023,Produce,Mobile Money
VND0024,Produce,Cash
VND0025,Textiles,Bank Transfer
VND0026,Electronics,Bank Transfer
VND0027,Produce,Cash
VND0028,Textiles,Mobile Money
VND0029,Textiles,Mobile Money
VND0030,Produce,Cash
VND0031,Textiles,Mobile Money
VND0032,Produce,Mobile Money
VND0033,Produce,Cash
VND0034,Electronics,Mobile Money
VND0035,Electronics,Cash
VND0036,Electronics,Cash
VND0037,Produce,Mobile Money
VND0038,Produce,Mobile Money
VND0039,Textiles,Mobile Money
VND0040,Produce,Cash
VND0041,Produce,Cash
VND0042,Textiles,Mobile Money
VND0043,Produce,Cash
VND0044,Electronics,Bank Transfer
VND0045,Produce,Cash
VND0046,Textiles,Mobile Money
VND0047,Produce,Cash
VND0048,Textiles,Cash
VND0049,Textiles,Mobile Money
VND0050,Produce,Cash
VND0051,Electronics,Bank Transfer
VND0052,Electronics,Bank Transfer
VND0053,Electronics,Bank Transfer
VND0054,Electronics,Mobile Money
VND0055,Textiles,Cash
VND0056,Electronics,Bank Transfer
VND0057,Produce,Cash
VND0058,Produce,Cash
VND0059,Produce,Bank Transfer
VND0060,Produce,Cash
VND0061,Produce,Cash
VND0062,Produce,Cash
VND0063,Electronics,Bank Transfer
VND0064,Produce,Cash
VND0065,Produce,Bank Transfer
VND0066,Textiles,Mobile Money
VND0067,Produce,Bank Transfer
VND0068,Electronics,Bank Transfer
VND0069,Produce,Cash
VND0070,Electronics,Cash
VND0071,Electronics,Mobile Money
VND0072,Produce,Cash
VND0073,Produce,Cash
VND0074,Electronics,Bank Transfer
VND0075,Textiles,Cash
VND0076,Textiles,Cash
VND0077,Electronics,Bank Transfer
VND0078,Produce,Cash
VND0079,Produce,Mobile Money
VND0080,Produce,Cash
VND0081,Electronics,Mobile Money
VND0082,Textiles,Mobile Money
VND0083,Produce,Cash
