household_id,income_level,household_size,urban,health_visits
1,4,2,Rural,10
2,5,3,Urban,13
3,1,4,Urban,5
4,5,4,Urban,12
5,3,3,Urban,9
6,5,6,Rural,11
7,3,4,Rural,8
8,3,6,Rural,9
9,1,3,Urban,2
10,1,8,Rural,3
11,3,8,Urban,8
12,5,7,Rural,11
13,3,4,Rural,2
14,4,7,Rural,3
15,1,8,Urban,4
16,5,5,Urban,12
17,1,6,Rural,3
18,1,4,Urban,2
19,4,3,Rural,9
20,2,4,Rural,6
21,3,8,Urban,9
22,4,5,Urban,12
23,3,2,Urban,8
24,3,3,Rural,7
25,3,3,Rural,0
26,2,4,Rural,7
27,1,2,Urban,1
28,2,2,Urban,7
29,3,5,Urban,8
30,5,4,Rural,5
