id,role,years_experience
1,Engineer,8
2,Engineer,8
3,CTO,9
4,CTO,10
5,Engineer,14
6,Intern,8
7,Analyst,10
8,CEO,9
9,CTO,11
10,Engineer,10
11,Intern,15
12,Engineer,10
13,Engineer,13
14,CEO,8
15,Analyst,7
16,CEO,7
17,CEO,11
18,Intern,9
19,Engineer,14
20,CTO,15
21,CTO,11
22,CEO,9
23,Engineer,10
24,Analyst,14
25,CEO,9
26,Engineer,5
27,Intern,7
28,Analyst,12
29,CTO,11
30,Intern,11
31,CEO,11
32,CEO,15
33,CTO,11
34,Engineer,7
35,Analyst,10
36,Intern,6
37,Intern,13
38,Engineer,13
39,CEO,15
40,CTO,10
41,Intern,8
42,Intern,10
43,Analyst,17
44,Intern,16
45,CTO,5
46,CEO,6
47,CEO,11
48,Engineer,5
49,CEO,12
50,Intern,16
51,CEO,5
52,CTO,2
53,Analyst,11
54,Analyst,6
55,Engineer,9
56,CEO,9
57,CTO,4
58,CEO,13
59,CTO,8
60,Analyst,13
61,Intern,6
62,Intern,14
63,Engineer,12
64,CEO,8
65,Analyst,11
66,CEO,11
67,CEO,9
68,Engineer,10
69,Analyst,9
70,CEO,16
71,Engineer,7
72,Intern,15
73,Engineer,6
74,CTO,11
75,Intern,8
76,Intern,6
77,Engineer,8
78,CTO,12
79,CTO,11
80,CTO,13
81,Analyst,10
82,CTO,12
83,CTO,8
84,Analyst,10
85,Analyst,8
86,CEO,10
87,Engineer,7
88,Engineer,7
89,CEO,11
90,Engineer,6
91,Intern,5
92,CTO,16
93,Engineer,14
94,CTO,9
95,Intern,11
96,Intern,8
97,Engineer,8
98,Analyst,7
99,Analyst,7
100,Analyst,9
