id,gender,product_category
1,Male,Gadget
2,Male,Gadget
3,Male,Clothing
4,Female,Skincare
5,Male,Gadget
6,Female,Skincare
7,Female,Accessories
8,Female,Accessories
9,Male,Gadget
10,Male,Accessories
11,Female,Skincare
12,Female,Skincare
13,Female,Clothing
14,Male,Skincare
15,Female,Clothing
16,Male,Clothing
17,Female,Skincare
18,Male,Gadget
19,Male,Gadget
20,Male,Gadget
21,Male,Accessories
22,Female,Skincare
23,Male,Gadget
24,Male,Gadget
25,Male,Accessories
26,Male,Clothing
27,Female,Gadget
28,Female,Skincare
29,Male,Gadget
30,Female,Skincare
31,Male,Accessories
32,Female,Accessories
33,Male,Gadget
34,Female,Clothing
35,Female,Skincare
36,Male,Gadget
37,Male,Gadget
38,Male,Gadget
39,Male,Gadget
40,Female,Skincare
41,Male,Gadget
42,Female,Skincare
43,Female,Clothing
44,Male,Accessories
45,Male,Accessories
46,Male,Accessories
47,Male,Skincare
48,Female,Clothing
49,Male,Gadget
50,Male,Accessories
51,Female,Skincare
52,Male,Gadget
53,Male,Accessories
54,Male,Clothing
55,Male,Clothing
56,Female,Accessories
57,Female,Accessories
58,Male,Gadget
59,Female,Accessories
60,Male,Gadget
61,Male,Gadget
62,Female,Gadget
63,Female,Clothing
64,Male,Gadget
65,Male,Gadget
66,Female,Accessories
67,Male,Accessories
68,Male,Gadget
69,Male,Gadget
70,Male,Accessories
71,Female,Accessories
72,Male,Gadget
73,Male,Gadget
74,Male,Clothing
75,Male,Gadget
76,Female,Clothing
77,Female,Skincare
78,Male,Gadget
79,Female,Accessories
80,Female,Skincare
81,Female,Clothing
82,Female,Clothing
83,Male,Clothing
84,Female,Skincare
85,Female,Clothing
86,Female,Skincare
87,Male,Clothing
88,Male,Clothing
89,Female,Gadget
90,Male,Skincare
91,Female,Accessories
92,Female,Skincare
93,Male,Gadget
94,Female,Skincare
95,Female,Skincare
96,Male,Gadget
97,Male,Skincare
98,Female,Skincare
99,Male,Gadget
100,Male,Clothing
101,Male,Gadget
102,Female,Accessories
103,Female,Skincare
104,Male,Gadget
105,Female,Skincare
106,Female,Clothing
107,Male,Clothing
108,Male,Gadget
109,Male,Gadget
110,Female,Skincare
111,Female,Accessories
112,Female,Skincare
113,Female,Skincare
114,Male,Gadget
115,Male,Gadget
116,Female,Clothing
117,Female,Gadget
118,Female,Clothing
119,Male,Gadget
120,Female,Skincare
121,Male,Gadget
122,Female,Clothing
123,Male,Accessories
124,Male,Gadget
125,Male,Gadget
126,Female,Skincare
127,Female,Skincare
128,Male,Gadget
129,Male,Gadget
130,Male,Skincare
131,Female,Clothing
132,Male,Accessories
133,Female,Skincare
134,Female,Clothing
135,Female,Skincare
136,Female,Skincare
137,Female,Gadget
138,Female,Clothing
139,Female,Clothing
140,Male,Gadget
141,Female,Accessories
142,Female,Clothing
143,Female,Gadget
144,Male,Accessories
145,Female,Skincare
146,Female,Accessories
147,Female,Clothing
148,Male,Gadget
149,Female,Skincare
150,Female,Accessories
151,Male,Skincare
152,Female,Gadget
153,Male,Skincare
154,Female,Accessories
155,Male,Gadget
156,Male,Gadget
157,Male,Clothing
158,Male,Gadget
159,Male,Gadget
160,Male,Clothing
161,Male,Gadget
162,Female,Clothing
163,Female,Skincare
164,Female,Clothing
165,Male,Gadget
166,Female,Skincare
167,Male,Skincare
168,Male,Gadget
169,Female,Accessories
170,Male,Gadget
171,Female,Skincare
172,Female,Accessories
173,Female,Skincare
174,Female,Skincare
175,Male,Accessories
176,Male,Clothing
177,Male,Gadget
178,Female,Skincare
179,Female,Skincare
180,Female,Skincare
181,Female,Clothing
182,Male,Clothing
183,Male,Gadget
184,Male,Skincare
185,Male,Gadget
186,Female,Accessories
187,Female,Accessories
188,Male,Gadget
189,Male,Gadget
190,Female,Skincare
191,Female,Skincare
192,Male,Clothing
193,Male,Clothing
194,Female,Skincare
195,Female,Skincare
196,Male,Clothing
197,Male,Accessories
198,Female,Skincare
199,Male,Gadget
200,Female,Skincare
201,Female,Clothing
202,Female,Skincare
203,Female,Skincare
204,Male,Gadget
205,Female,Skincare
206,Female,Accessories
207,Female,Accessories
208,Male,Clothing
209,Female,Skincare
210,Female,Skincare
211,Female,Accessories
212,Male,Gadget
213,Male,Gadget
214,Female,Clothing
215,Female,Skincare
216,Female,Skincare
217,Female,Skincare
218,Male,Clothing
219,Female,Gadget
220,Male,Accessories
221,Female,Skincare
222,Male,Accessories
223,Male,Gadget
224,Male,Accessories
225,Female,Accessories
226,Female,Clothing
227,Male,Clothing
228,Male,Gadget
229,Female,Clothing
230,Male,Clothing
231,Male,Gadget
232,Female,Clothing
233,Female,Accessories
234,Male,Clothing
235,Female,Skincare
236,Female,Skincare
237,Female,Clothing
238,Female,Gadget
239,Female,Skincare
240,Male,Accessories
241,Male,Skincare
242,Female,Skincare
243,Male,Gadget
244,Female,Accessories
245,Male,Gadget
246,Male,Skincare
247,Male,Gadget
248,Female,Skincare
249,Female,Accessories
250,Female,Gadget
