household_id,region,residence,household_size,internet_access
1,East,Rural,4,Yes
2,East,Rural,7,Yes
3,East,Rural,5,Yes
4,South,Rural,7,Yes
5,East,Rural,4,Yes
6,South,Urban,3,No
7,South,Rural,8,Yes
8,South,Rural,1,No
9,East,Rural,5,No
10,North,Rural,9,Yes
11,West,Urban,4,Yes
12,South,Rural,10,No
13,South,Urban,1,No
14,North,Urban,3,No
15,South,Urban,3,Yes
16,East,Rural,9,No
17,West,Urban,10,No
18,North,Rural,6,Yes
19,East,Rural,4,Yes
20,East,Rural,4,No
21,North,Urban,3,No
22,West,Rural,7,Yes
23,North,Urban,6,Yes
24,North,Rural,5,Yes
25,North,Rural,6,Yes
26,East,Rural,6,No
27,West,Urban,7,No
28,South,Urban,5,No
29,East,Rural,4,Yes
30,South,Urban,6,Yes
31,North,Urban,8,No
32,South,Urban,4,Yes
33,East,Urban,2,Yes
34,West,Rural,6,Yes
35,South,Rural,5,No
36,North,Urban,8,Yes
37,East,Urban,3,No
38,East,Urban,7,Yes
39,North,Urban,6,Yes
40,West,Urban,6,No
41,East,Rural,5,No
42,West,Rural,5,No
43,South,Rural,7,Yes
44,North,Urban,5,Yes
45,East,Urban,10,No
46,North,Urban,2,Yes
47,North,Urban,5,No
48,South,Rural,3,Yes
49,East,Rural,4,Yes
50,East,Rural,7,Yes
51,West,Urban,3,Yes
52,North,Rural,5,No
53,East,Urban,4,Yes
54,North,Rural,4,Yes
55,East,Urban,5,Yes
56,West,Rural,6,Yes
57,South,Urban,10,Yes
58,North,Urban,3,Yes
59,South,Urban,3,No
60,North,Urban,5,No
61,North,Rural,3,Yes
62,West,Urban,3,No
63,West,Urban,4,Yes
64,East,Urban,4,No
65,North,Rural,6,Yes
66,South,Rural,6,Yes
67,North,Rural,7,Yes
68,North,Rural,4,Yes
69,East,Urban,3,No
70,North,Urban,5,Yes
71,South,Rural,5,No
72,North,Urban,6,Yes
73,East,Urban,5,Yes
74,North,Rural,3,No
75,East,Urban,8,Yes
76,South,Urban,11,Yes
77,West,Rural,7,No
78,East,Rural,7,Yes
79,West,Urban,4,Yes
80,West,Rural,6,Yes
81,South,Rural,5,Yes
82,South,Urban,1,No
83,East,Urban,6,No
84,West,Rural,7,No
85,South,Rural,2,No
86,South,Urban,8,Yes
87,East,Rural,4,No
88,East,Urban,6,Yes
89,West,Urban,6,No
90,North,Rural,6,Yes
91,South,Rural,4,Yes
92,South,Rural,4,Yes
93,North,Rural,5,Yes
94,South,Rural,2,Yes
95,West,Rural,5,No
96,North,Urban,5,Yes
97,North,Urban,3,Yes
98,South,Rural,9,Yes
99,East,Rural,3,Yes
100,East,Rural,5,Yes
101,North,Urban,4,Yes
102,West,Rural,2,Yes
103,South,Rural,4,No
104,North,Urban,13,Yes
105,West,Urban,7,No
106,South,Urban,4,No
107,North,Rural,9,Yes
108,East,Rural,6,No
109,East,Urban,5,No
110,West,Urban,7,No
111,West,Urban,6,Yes
112,South,Rural,4,No
113,West,Rural,5,No
114,East,Rural,5,No
115,North,Rural,6,No
116,South,Rural,4,Yes
117,South,Urban,5,Yes
118,West,Rural,5,Yes
119,East,Urban,5,Yes
120,South,Urban,8,Yes
121,North,Urban,8,Yes
122,West,Urban,7,No
123,East,Rural,3,Yes
124,East,Rural,4,Yes
125,East,Urban,8,Yes
126,South,Rural,8,No
127,South,Urban,6,Yes
128,East,Rural,7,Yes
129,North,Rural,5,No
130,North,Urban,1,Yes
131,West,Rural,4,Yes
132,East,Rural,5,Yes
133,South,Rural,4,No
134,South,Rural,9,Yes
135,South,Urban,6,No
136,West,Urban,0,No
137,South,Rural,1,No
138,South,Urban,4,No
139,South,Urban,4,No
140,East,Rural,7,Yes
141,West,Urban,6,Yes
142,West,Rural,6,No
143,South,Rural,4,No
144,North,Rural,3,No
145,South,Rural,3,Yes
146,South,Rural,6,Yes
147,South,Rural,3,No
148,East,Rural,3,Yes
149,West,Urban,5,No
150,South,Urban,3,No
151,East,Rural,2,No
152,South,Urban,1,Yes
153,East,Urban,7,Yes
154,West,Rural,7,No
155,North,Rural,1,Yes
156,East,Rural,5,No
157,East,Rural,4,No
158,East,Urban,5,Yes
159,North,Rural,3,No
160,East,Rural,9,Yes
161,East,Urban,2,No
162,South,Rural,2,No
163,South,Urban,3,No
164,South,Urban,4,No
165,East,Urban,5,No
166,West,Urban,3,No
167,East,Rural,5,No
168,East,Urban,5,Yes
169,South,Urban,4,Yes
170,North,Rural,11,Yes
