resident,area,year,gender,hyder,friends,read,write,speak,listen
Current,South,1982,Male,2.12,15,75,70,57,29
Current,South,1979,Male,2.74,17,76,70,59,41
Former,South,1982,Female,3.03,20,77,74,57,36
Current,South,1980,Male,3.03,3,76,70,57,41
Current,South,1981,Male,3.06,24,76,69,56,32
Former,South,1980,Female,3.16,15,77,68,58,35
Current,South,1981,Female,3.27,1,78,69,57,29
Current,South,1983,Male,3.30,23,76,72,58,34
Current,South,1980,Female,3.45,26,78,74,57,34
Current,South,1981,Female,3.46,26,73,72,56,34
Current,South,1981,Male,3.49,24,77,69,57,36
Current,South,1979,Male,3.62,2,77,68,57,44
Current,South,1982,Male,3.64,31,79,71,59,35
Current,South,1980,Male,3.64,6,78,71,57,44
Current,South,0,Female,3.68,33,78,73,57,38
Current,North,1982,Female,3.70,20,79,75,61,26
Current,South,1980,Male,3.70,21,77,68,56,40
Current,South,1981,Female,3.71,20,75,72,59,38
Former,South,1981,Female,3.74,14,75,69,56,50
Current,South,0,Male,3.75,28,77,72,57,35
Current,South,1979,Female,3.77,10,73,70,55,32
Current,South,1982,Male,3.80,2,78,72,59,37
Current,South,1982,Female,3.84,31,77,72,54,34
Current,South,1981,Male,3.87,3,77,72,56,39
Current,South,1979,Female,3.87,18,74,65,53,42
Current,South,1981,Female,3.87,9,74,71,56,40
Current,South,1980,Female,3.89,27,75,70,56,33
Former,South,1980,Male,3.91,20,79,67,58,35
Current,South,1981,Female,3.91,19,75,71,59,27
Current,South,1981,Male,3.92,6,77,69,57,33
Current,South,1982,Male,3.94,14,73,70,54,27
Current,South,1980,Male,4.01,1,76,70,57,42
Current,South,1981,Male,4.03,10,79,70,59,34
Current,South,1981,Male,4.03,13,77,70,57,33
Current,South,1982,Female,4.04,16,78,74,54,35
Current,South,1982,Female,4.05,2,78,69,60,39
Current,North,1982,Male,4.08,26,77,71,57,29
Current,North,1982,Male,4.08,10,78,71,59,32
Current,South,1982,Female,4.09,20,78,73,58,39
Former,South,1981,Male,4.09,23,80,69,58,40
Current,South,1981,Male,4.10,29,80,74,61,35
Current,North,1980,Male,4.13,0,80,71,60,43
Current,Missing,1981,Male,4.14,28,79,74,55,38
Former,South,1982,Female,4.14,24,75,70,55,40
Former,North,1982,Female,4.16,8,79,73,59,43
Current,North,1981,Female,4.19,1,81,77,59,43
Current,South,1979,Male,4.19,4,80,69,55,29
Current,South,1983,Female,4.21,31,77,73,56,37
Current,South,1981,Male,4.26,13,77,70,57,37
Current,South,1979,Female,4.27,3,79,68,56,38
Current,South,1981,Female,4.27,13,79,71,56,37
Current,North,1982,Female,4.27,16,81,71,60,40
Current,South,1981,Female,4.27,5,77,73,56,40
Current,North,1980,Female,4.28,0,78,71,58,42
Current,South,1979,Male,4.28,5,80,70,59,40
Current,South,1979,Female,4.29,11,77,68,56,33
Current,South,1980,Male,4.29,5,77,73,58,33
Current,South,1980,Female,4.30,14,74,71,56,37
Current,South,1980,Male,4.31,21,76,67,55,41
Former,South,1981,Female,4.32,13,76,74,56,41
Current,North,1982,Female,4.32,9,81,71,61,36
Current,South,1981,Male,4.32,7,76,71,54,39
Current,South,1980,Male,4.34,12,78,72,57,40
Former,South,1980,Female,4.34,18,75,66,56,34
Current,South,1980,Female,4.35,30,79,72,55,22
Current,South,1980,Male,4.36,20,77,72,59,39
Former,South,1980,Female,4.39,23,76,72,55,32
Current,South,1981,Female,4.40,27,75,69,58,37
Current,South,1979,Female,4.44,26,76,67,55,24
Former,South,1980,Male,4.45,14,76,73,56,23
Current,North,1982,Female,4.46,14,78,72,57,36
Current,North,1981,Female,4.47,30,77,72,57,38
Current,South,1980,Male,4.48,1,75,72,56,33
Current,South,1980,Male,4.49,11,78,71,59,40
Current,North,1981,Male,4.51,12,77,72,57,35
Current,South,1982,Female,4.53,13,75,73,57,37
Current,South,1981,Female,4.53,1,75,71,58,37
Current,South,1981,Female,4.54,8,77,71,58,32
Former,North,1981,Male,4.55,7,78,71,59,43
Current,North,1981,Female,4.55,31,78,74,59,44
Current,South,1980,Male,4.56,12,77,72,56,33
Current,North,1982,Female,4.57,27,77,74,60,29
Current,North,1982,Male,4.57,10,80,74,58,28
Current,South,1980,Male,4.58,19,75,71,56,43
Current,North,1982,Female,4.59,2,79,74,60,37
Current,South,1981,Female,4.59,5,79,69,59,49
Former,North,1981,Female,4.59,11,78,70,57,51
Current,North,1982,Female,4.60,6,77,73,58,38
Current,North,1982,Male,4.62,9,77,73,56,47
Former,South,1979,Female,4.62,30,77,70,56,37
Former,South,1982,Male,4.63,32,80,73,60,31
Current,South,1983,Female,4.63,31,75,76,56,31
Current,North,1980,Female,4.64,8,78,70,55,36
Current,South,1981,Female,4.65,28,75,72,55,46
Current,North,1981,Male,4.66,9,78,71,58,45
Current,South,0,Male,4.68,1,76,71,54,29
Current,South,1981,Male,4.70,21,77,70,52,37
Current,South,1980,Female,4.71,3,79,72,55,32
Current,South,1978,Female,4.72,12,73,70,55,37
Current,South,1980,Male,4.73,29,79,69,57,38
Former,South,1982,Female,4.74,20,75,72,57,29
Current,North,1982,Male,4.74,9,79,75,60,35
Current,South,1980,Female,4.74,2,81,74,58,29
Current,South,1980,Female,4.76,10,76,72,55,37
Current,South,1979,Female,4.76,6,77,67,56,33
Current,South,1980,Male,4.76,30,77,73,54,29
Current,South,1981,Male,4.77,0,77,72,56,41
Current,North,1981,Androgyne,4.78,28,78,71,59,46
Current,North,1983,Female,4.78,19,77,72,60,39
Current,South,1982,Male,4.79,29,79,75,59,35
Current,North,1983,Female,4.79,35,81,74,62,38
Current,South,1980,Male,4.81,3,77,71,57,31
Former,South,1982,Female,4.81,24,77,74,57,42
Current,South,1981,Female,4.82,3,77,72,55,34
Current,South,1981,Female,4.82,17,79,71,59,36
Current,North,1981,Female,4.82,0,80,72,59,33
Former,South,1980,Male,4.83,29,77,68,57,31
Current,South,1979,Female,4.83,12,76,72,55,42
Current,North,1982,Male,4.84,1,77,74,57,35
Current,South,1981,Female,4.87,18,75,70,53,31
Current,North,1981,Female,4.87,1,79,73,59,36
Current,North,1982,Female,4.88,1,78,73,60,26
Current,South,1982,Female,4.89,11,79,77,59,34
Current,North,1982,Male,4.90,11,81,73,61,40
Current,South,1982,Female,4.92,23,74,75,59,40
Current,North,1982,Male,4.93,25,79,72,58,41
Current,North,1981,Female,4.94,22,77,70,56,30
Current,North,1981,Male,4.94,18,78,71,56,41
Current,South,1978,Female,4.94,6,78,66,57,39
Current,South,1980,Female,4.94,2,78,70,57,37
Current,South,1982,Male,4.95,15,75,71,53,34
Current,North,1982,Female,4.97,10,77,71,60,43
Current,North,1980,Male,4.97,30,79,73,58,28
Current,South,1982,Androgyne,4.98,17,76,76,56,36
Current,North,1981,Female,4.98,4,80,72,56,41
Current,North,1979,Female,4.99,14,77,68,56,36
Current,South,1979,Female,5.01,27,78,72,56,37
Current,South,1981,Female,5.02,3,78,72,58,39
Current,South,1980,Female,5.05,22,77,70,55,43
Current,South,1980,Male,5.05,15,78,72,58,39
Former,South,1981,Female,5.05,19,80,73,59,42
Current,South,1982,Male,5.05,31,73,75,55,41
Current,South,1981,Female,5.05,2,77,71,58,35
Current,North,1980,Male,5.06,15,83,75,59,34
Former,North,1981,Male,5.06,17,79,74,58,24
Current,North,1981,Female,5.07,1,80,72,60,34
Current,South,1982,Female,5.08,8,78,71,57,41
Current,South,1983,Female,5.08,32,79,73,61,35
Current,South,1982,Female,5.09,18,74,76,55,35
Current,South,1982,Female,5.10,13,71,74,55,38
Current,North,1982,Male,5.10,9,76,73,59,31
Current,South,1981,Female,5.10,22,77,74,54,39
Current,North,1980,Female,5.10,15,79,72,60,36
Current,North,1983,Female,5.10,16,76,73,56,29
Current,South,1982,Male,5.11,1,77,72,55,42
Current,South,1980,Female,5.13,23,76,72,57,33
Current,North,1981,Female,5.13,23,75,73,55,39
Former,South,1981,Male,5.13,10,80,74,58,24
Current,South,1980,Male,5.13,19,79,73,56,42
